City_ID,City,Country,Date,Current Description,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
141,Belaya Gora,RU,2022-01-21 21:26:56,overcast clouds,68.5333,146.4167,-44.32,100,94,2.44
142,Putnam,US,2022-01-21 21:26:56,overcast clouds,36.1667,-85.65,27.68,70,100,8.05
143,Los Llanos De Aridane,ES,2022-01-21 21:26:56,few clouds,28.6585,-17.9182,60.55,86,20,5.01
144,Provideniya,RU,2022-01-21 21:26:56,light snow,64.3833,-173.3,4.23,96,100,15.17
145,Beringovskiy,RU,2022-01-21 21:26:57,scattered clouds,63.05,179.3167,-13.22,76,34,15.77
146,Karpathos,GR,2022-01-21 21:26:57,overcast clouds,35.507,27.2132,58.96,72,100,19.57
147,Roald,NO,2022-01-21 21:26:57,light intensity drizzle,62.5833,6.1333,44.74,87,75,11.5
148,Ozu,JP,2022-01-21 21:26:57,broken clouds,33.5,132.55,33.42,72,64,3.51
149,Bowen,AU,2022-01-21 21:26:58,broken clouds,-20.0167,148.2333,71.82,76,79,17.6
150,Talnakh,RU,2022-01-21 21:26:58,overcast clouds,69.4865,88.3972,15.21,96,100,11.1
151,Bilma,NE,2022-01-21 21:26:58,clear sky,18.6853,12.9164,59.25,22,0,7.9
152,Souillac,MU,2022-01-21 21:26:58,light rain,-20.5167,57.5167,82.78,89,40,18.41
153,Chaoyang,CN,2022-01-21 21:26:59,light snow,41.5703,120.4586,15.51,92,100,2.3
154,Lagoa,PT,2022-01-21 21:26:59,clear sky,39.05,-27.9833,59.86,77,1,21.63
155,Avarua,CK,2022-01-21 21:26:59,moderate rain,-21.2078,-159.775,80.65,89,75,16.11
156,Sao Gabriel Da Cachoeira,BR,2022-01-21 21:26:59,light rain,-0.1303,-67.0892,78.94,94,82,1.79
157,Beloha,MG,2022-01-21 21:27:00,overcast clouds,-25.1667,45.05,73.0,92,95,8.23
158,Sitia,GR,2022-01-21 21:27:00,overcast clouds,35.2,26.0986,54.99,75,100,17.67
159,Kerema,PG,2022-01-21 21:27:00,overcast clouds,-7.9631,145.7785,77.22,85,99,4.16
160,Aklavik,CA,2022-01-21 21:27:00,few clouds,68.2191,-135.0107,-19.37,68,20,4.61
161,Hualmay,PE,2022-01-21 21:27:01,scattered clouds,-11.0964,-77.6139,76.1,74,41,10.51
162,Codrington,AU,2022-01-21 21:27:01,clear sky,-38.2667,141.9667,70.65,41,10,6.02
163,Sao Filipe,CV,2022-01-21 21:27:01,overcast clouds,14.8961,-24.4956,73.22,78,94,6.76
164,Ancud,CL,2022-01-21 21:27:01,overcast clouds,-41.8697,-73.8203,64.42,71,99,13.2
165,Calvillo,MX,2022-01-21 21:27:02,overcast clouds,21.85,-102.7167,67.14,28,100,13.98
166,Hengyang,CN,2022-01-21 21:27:02,light rain,26.8881,112.615,46.6,94,100,5.5
167,Trelew,AR,2022-01-21 21:27:02,clear sky,-43.249,-65.3051,83.16,19,0,18.28
168,Gibara,CU,2022-01-21 21:27:02,scattered clouds,21.1097,-76.1317,88.92,62,36,13.06
169,Naryan-Mar,RU,2022-01-21 21:27:03,light snow,67.6713,53.087,24.39,96,100,11.95
170,Kizhinga,RU,2022-01-21 21:27:03,overcast clouds,51.8462,109.9097,-11.18,100,96,1.45
171,Omsukchan,RU,2022-01-21 21:27:03,clear sky,62.5333,155.8,-28.79,89,5,4.76
172,Atuona,PF,2022-01-21 21:27:03,few clouds,-9.8,-139.0333,78.93,75,16,24.25
173,Lar,IN,2022-01-21 21:27:04,clear sky,26.2039,83.9717,55.17,65,4,4.16
174,Khor,RU,2022-01-21 21:27:04,overcast clouds,47.8861,134.9464,-20.24,100,100,2.04
175,Darhan,MN,2022-01-21 21:27:04,overcast clouds,49.4867,105.9228,2.59,98,100,1.52
176,Nikolskoye,RU,2022-01-21 21:27:04,overcast clouds,59.7035,30.7861,27.39,97,94,5.82
177,Harer,ET,2022-01-21 21:27:05,scattered clouds,9.3094,42.1258,56.68,70,27,8.23
178,Belmonte,BR,2022-01-21 21:27:05,few clouds,-15.8631,-38.8828,81.1,76,17,10.74
179,Asfi,MA,2022-01-21 21:27:05,overcast clouds,32.2994,-9.2372,59.63,59,90,16.02
180,Yelatma,RU,2022-01-21 21:27:05,light snow,54.9675,41.7508,22.3,94,100,11.63
181,Tuktoyaktuk,CA,2022-01-21 21:27:06,few clouds,69.4541,-133.0374,-31.0,68,20,6.91
182,Torrington,US,2022-01-21 21:27:36,clear sky,41.8007,-73.1212,21.15,46,0,1.01
183,Mabaruma,GY,2022-01-21 21:27:36,overcast clouds,8.2,-59.7833,74.55,95,100,5.68
184,Caxito,AO,2022-01-21 21:27:37,overcast clouds,-8.5785,13.6643,77.65,83,94,2.51
185,Northam,GB,2022-01-21 21:27:37,overcast clouds,51.0333,-4.2167,43.39,75,97,8.48
186,Lompoc,US,2022-01-21 21:27:37,clear sky,34.6391,-120.4579,76.12,47,0,11.5
187,Luderitz,NA,2022-01-21 21:27:37,broken clouds,-26.6481,15.1594,77.63,63,82,4.5
188,Thunder Bay,CA,2022-01-21 21:22:48,overcast clouds,48.4001,-89.3168,19.56,57,100,14.97
189,Peniche,PT,2022-01-21 21:27:38,clear sky,39.3558,-9.3811,53.1,58,5,9.6
190,Touros,BR,2022-01-21 21:27:38,clear sky,-5.1989,-35.4608,81.5,68,7,11.77
